Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
20,0,907.627747,492.085510,72.924461,885.722656,27.900171,77.527313,-168.353043,-191.198822,11.218030,-601.770630,86.411430,78.968719,-568.648438,401.629944,74.005951,-47.190937,286.617615,124.354042,-0.190735,0.333786,-0.022352,0.214577,0.013784,0.338256,-0.116229,0.101328,0.228733,-1.585484,-0.141561,3.086030,-0.417233,0.172853,0.841916,1.120567,2.211332,-1.232326,7.152557,-13.113022,0.000000,-7.152557,-2.384186,-20.563602,11.920929,-11.920929,25.220215,40.531158,-5.960464,-86.128708,14.305115,-9.536743,-20.563602,101.923943,94.175339,271.797180
21,0,907.627075,492.086853,72.924362,885.723511,27.900133,77.528503,-168.353317,-191.198654,11.219787,-601.777527,86.410591,78.982048,-568.650330,401.630615,74.009666,-47.182549,286.631714,124.354637,-0.131130,0.268221,-0.020862,0.178814,-0.007451,0.238419,-0.056624,0.035763,0.351295,-1.382828,-0.168383,2.665818,-0.369549,0.131130,0.742078,1.677871,2.819300,0.119209,11.920929,-13.113022,0.298023,-7.152557,-4.246831,-19.967556,11.920929,-13.113022,24.512409,40.531158,-5.364418,-84.042549,9.536743,-8.344650,-19.967556,111.460686,121.593475,270.307068
22,0,907.626587,492.087799,72.924240,885.724365,27.899940,77.529221,-168.353317,-191.198792,11.222117,-601.783569,86.409584,78.993393,-568.651733,401.630951,74.012863,-47.171120,286.649597,124.361847,-0.107288,0.190735,-0.023842,0.166893,-0.038743,0.143051,0.000000,-0.029802,0.466220,-1.204014,-0.201166,2.269447,-0.286102,0.065565,0.639260,2.285838,3.576279,1.442432,4.768372,-15.497208,-0.596046,-2.384186,-6.258488,-19.073486,11.324883,-13.113022,22.985041,35.762787,-6.556511,-79.274178,16.689301,-13.113022,-20.563602,121.593475,151.395798,264.644623
23,0,907.626221,492.088501,72.924133,885.725037,27.899548,77.529518,-168.353088,-191.199295,11.224957,-601.788757,86.408417,79.002960,-568.652954,401.630951,74.015549,-47.156456,286.671906,124.375450,-0.071526,0.137091,-0.022352,0.131130,-0.078231,0.059605,0.047684,-0.098348,0.567734,-1.037121,-0.233948,1.913309,-0.238419,0.000000,0.537932,2.932549,4.464388,2.719462,7.152557,-10.728836,0.298023,-7.152557,-7.897615,-16.689301,9.536743,-13.709068,20.302832,33.378601,-6.556511,-71.227554,9.536743,-13.113022,-20.265579,129.342072,177.621841,255.405899
24,0,907.626038,492.088837,72.924019,885.725464,27.898920,77.529442,-168.352631,-191.200104,11.228202,-601.793274,86.407082,79.010986,-568.653748,401.630585,74.017746,-47.138435,286.699280,124.395042,-0.035763,0.065565,-0.022352,0.083447,-0.125542,-0.014901,0.089407,-0.163913,0.649132,-0.905991,-0.266731,1.604855,-0.166893,-0.071526,0.439584,3.604591,5.477667,3.919005,7.152557,-14.305115,0.000000,-9.536743,-9.462237,-14.901161,8.344650,-13.113022,16.279518,26.226044,-6.556511,-61.690807,14.305115,-14.305115,-19.669533,134.408478,202.655792,239.908691
25,0,907.625916,492.088898,72.923904,885.725769,27.898024,77.529068,-168.352005,-191.201294,11.231713,-601.797363,86.405563,79.017715,-568.654297,401.629791,74.019455,-47.117016,286.732269,124.420135,-0.023842,0.011921,-0.022352,0.071526,-0.179559,-0.075996,0.125170,-0.238419,0.702217,-0.810623,-0.303984,1.345575,-0.107288,-0.154972,0.341237,4.283339,6.592274,5.018711,2.384186,-10.728836,0.000000,-2.384186,-10.803342,-12.218952,7.152557,-14.901161,10.617077,19.073486,-7.450581,-51.856041,11.920929,-16.689301,-19.669533,135.749573,222.921371,219.941132
26,0,907.625916,492.088623,72.923805,885.725952,27.896839,77.528450,-168.351273,-191.202835,11.235305,-601.800903,86.403870,79.023415,-568.654663,401.628601,74.020668,-47.092346,286.770966,124.450058,0.000000,-0.053644,-0.020862,0.035763,-0.236928,-0.123680,0.146031,-0.306964,0.718422,-0.715256,-0.338256,1.139939,-0.071526,-0.238419,0.242889,4.934520,7.742643,5.984306,4.768372,-13.113022,0.298023,-7.152557,-11.473894,-9.536743,4.172325,-13.709068,3.241003,19.073486,-6.854534,-41.127205,7.152557,-16.689301,-19.669533,130.236145,230.073929,193.119049
27,0,907.625977,492.088104,72.923698,885.726013,27.895353,77.527657,-168.350479,-191.204712,11.238748,-601.804382,86.402008,79.028336,-568.654724,401.627075,74.021431,-47.064754,286.815491,124.483955,0.011921,-0.101328,-0.020862,0.011921,-0.296906,-0.157952,0.160933,-0.375509,0.688434,-0.691414,-0.372529,0.984967,-0.011921,-0.309944,0.151992,5.517900,8.904934,6.780028,2.384186,-9.536743,0.000000,-4.768372,-11.995435,-6.854534,2.980232,-13.709068,-5.997717,4.768372,-6.854534,-30.994415,11.920929,-14.305115,-18.179417,116.676094,232.458115,159.144409
28,0,907.626099,492.087311,72.923592,885.725952,27.893579,77.526779,-168.349655,-191.206924,11.241754,-601.807678,86.400002,79.032707,-568.654480,401.625122,74.021759,-47.034851,286.865540,124.520790,0.023842,-0.160933,-0.020862,-0.011921,-0.355020,-0.175834,0.163913,-0.441074,0.601262,-0.655651,-0.400841,0.873208,0.047684,-0.387430,0.065565,5.980581,10.007620,7.367134,2.384186,-11.920929,0.000000,-4.768372,-11.622906,-3.576279,0.596046,-13.113022,-17.434359,7.152557,-5.662441,-22.351742,11.920929,-15.497208,-17.285347,92.536209,220.537186,117.421150
29,0,907.626221,492.086273,72.923508,885.725769,27.891523,77.525848,-168.348892,-191.209473,11.243989,-601.810852,86.397903,79.036644,-568.654175,401.622955,74.021713,-47.003559,286.920258,124.559227,0.023842,-0.208616,-0.016391,-0.035763,-0.410900,-0.186265,0.151992,-0.512600,0.447035,-0.643730,-0.420213,0.788271,0.059605,-0.435114,-0.008941,6.258488,10.943413,7.686019,0.000000,-9.536743,0.894070,-4.768372,-11.175871,-2.086163,-2.384186,-14.305115,-30.845404,2.384186,-3.874302,-16.987324,2.384186,-9.536743,-14.901161,55.581329,187.158585,63.776970
30,0,907.626404,492.084991,72.923447,885.725586,27.889225,77.524933,-168.348267,-191.212357,11.245070,-601.814026,86.395752,79.040276,-568.653687,401.620575,74.021339,-46.972183,286.978394,124.597633,0.035763,-0.256300,-0.013411,-0.047684,-0.459701,-0.183284,0.125170,-0.575185,0.216067,-0.631809,-0.429153,0.725687,0.095367,-0.476837,-0.074506,6.275624,11.628866,7.681549,2.384186,-9.536743,0.596046,-2.384186,-9.760261,0.596046,-5.364418,-12.516975,-46.193600,2.384186,-1.788139,-12.516975,7.152557,-8.344650,-13.113022,3.427267,137.090683,-0.894070
31,0,907.626587,492.083527,72.923401,885.725159,27.886730,77.524048,-168.347870,-191.215500,11.244566,-601.817200,86.393669,79.043564,-568.653137,401.618103,74.020729,-46.942444,287.038269,124.634048,0.035763,-0.292063,-0.008941,-0.083447,-0.499189,-0.175834,0.080466,-0.628829,-0.100583,-0.631809,-0.417233,0.658631,0.107288,-0.494719,-0.122190,5.947799,11.974573,7.283688,0.000000,-7.152557,0.894070,-7.152557,-7.897615,1.490116,-8.940697,-10.728836,-63.329933,0.000000,2.384186,-13.411045,2.384186,-3.576279,-9.536743,-65.565109,69.141388,-79.572205
32,0,907.626831,492.081879,72.923378,885.724670,27.884096,77.523254,-168.347748,-191.218918,11.242013,-601.820068,86.391747,79.046448,-568.652649,401.615723,74.019936,-46.916557,287.097290,124.666107,0.047684,-0.327826,-0.004470,-0.095367,-0.526756,-0.159442,0.023842,-0.682473,-0.510551,-0.572205,-0.384450,0.576675,0.107288,-0.476837,-0.157952,5.177408,11.801720,6.411970,2.384186,-7.152557,0.894070,-2.384186,-5.513430,3.278255,-11.324883,-10.728836,-81.993637,11.920929,6.556511,-16.391277,0.000000,3.576279,-7.152557,-154.078003,-34.570694,-174.343582
33,0,907.627075,492.080078,72.923386,885.724121,27.881407,77.522522,-168.348007,-191.222519,11.236918,-601.822693,86.390160,79.048767,-568.652100,401.613617,74.019073,-46.897232,287.152283,124.691086,0.047684,-0.357628,0.001490,-0.107288,-0.537932,-0.146031,-0.053644,-0.721216,-1.019053,-0.524521,-0.317395,0.463426,0.107288,-0.417233,-0.172853,3.864616,11.003017,4.994869,0.000000,-5.960464,1.192093,-2.384186,-2.235174,2.682209,-15.497208,-7.748604,-101.700424,9.536743,13.411045,-22.649765,0.000000,11.920929,-2.980232,-262.558472,-159.740448,-283.420074
